BR 10 2024 008122 6,25/04/2024,ETANOL DE CEREAIS E PROCESSO DE FABRICAÇÃO DE ETANOL UTILIZANDO GRÃOS ÚMIDOS DE CEREAIS,C12P 7/06
BR 11 2025 010546 9,29/01/2024,"MÉTODO PARA CONVERSÃO DE ETANOL, CATALISADOR CONTENDO ZEÓLITA, MÉTODO PARA PRODUÇÃO DE CATALISADOR CONTENDO ZEÓLITA E MÉTODO PARA PRODUÇÃO DE HIDROCARBONETO, ETC",C07C 1/24
BR 11 2025 013463 9,27/12/2023,MÉTODO PARA PRODUÇÃO DE ETANOL A PARTIR DE UMA MATÉRIA-PRIMA LIGNOCELULÓSICA E SISTEMA PARA PRODUÇÃO DE ETANOL A PARTIR DE UMA MATÉRIA-PRIMA LIGNOCELULÓSICA,C12P 7/06
BR 11 2025 008506 9,31/10/2023,"CEPA DE LEVEDURA DE SACCHAROMYCES NÃO NATURAL, DERIVADO NÃO NATURAL DE UMA CEPA DE LEVEDURA DE SACCHAROMYCES, MÉTODOS PARA PRODUZIR O DERIVADO DE UMA CEPA DE LEVEDURA DE SACCHAROMYCES, A LEVEDURA MUTANTE, A LEVEDURA EVOLUÍDA E UM PRODUTO DE FERMENTAÇÃO, LEVEDURAS MUTANTE, EVOLUÍDA, GENETICAMENTE MODIFICADA E RECOMBINANTE DE UMA CEPA DE LEVEDURA, PROCESSO PARA PRODUZIR ETANOL, E, COMPOSIÇÃO",C12N 1/18
BR 11 2025 007261 7,13/10/2023,SISTEMAS E MÉTODOS DE CONVERSÃO DE ETANOL PARA COMBUSTÍVEL,C10G 2/00
BR 10 2023 020328 0,03/10/2023,PROCESSO DE PRODUÇÃO DE ETANOL A PARTIR DAS FRAÇÕES HEMICELULÓSICA E AMILÁCEA DA BIOMASSA DE OLEAGINOSA,C12P 7/06
BR 20 2023 020295 6,02/10/2023,DISPOSIÇÃO INTRODUZIDA EM LAREIRA A ETANOL,F24B 1/18
BR 11 2025 005573 9,22/09/2023,"PROCESSO PARA PRODUZIR ETANOL A PARTIR DE MATERIAL CONTENDO AMIDO, CEPA DE LEVEDURA SACCHAROMYCES, MÉTODOS PARA PRODUZIR UM DERIVADO DE CEPA DE SACCHAROMYCES CEREVISIAE, PARA A PRODUÇÃO DE ETANOL, PARA PRODUZIR GRÃO DE DESTILADOR E PARA PRODUZIR UM DERIVADO RECOMBINANTE DA LEVEDURA SACCHAROMYCES, CEPA DE SACCHAROMYCES, E, COMPOSIÇÃO",C12P 7/06
BR 11 2025 003893 1,30/08/2023,INTEGRAÇÃO DE VAPOR D´ÁGUA NO PROCESSO DE CONVERSÃO DE ETANOL EM COMBUSTÍVEL DE JATO,C07C 1/24
BR 11 2025 004113 4,30/08/2023,UM PROCESSO DE ETANOL PARA ETILENO,C07C 1/24
BR 11 2025 004013 8,30/08/2023,REATOR DE FLUXO RADIAL PARA UM PROCESSO DE DESIDRATAÇÃO DE ETANOL,C07C 1/24
BR 11 2025 003413 8,23/08/2023,PROCESSO PARA RECUPERAÇÃO DE COMPONENTES DE BAIXO PONTO DE EBULIÇÃO DE UMA CORRENTE DE ETANOL,C07C 29/76
BR 10 2023 016938 4,23/08/2023,"PROCESSO DE REAPROVEITAMENTO DOS PRODUTOS ALIMENTÍCIOS PARA FABRICAÇÃO DE BARRAS PROTEICAS, SOPAS E ETANOL",A23L 7/126
BR 11 2025 002806 5,18/08/2023,COFERMENTAÇÃO DE LIGNOCELULOSE E AÇÚCAR SOLÚVEL DE CANA INTEGRAL PARA PRODUZIR ETANOL,C12P 7/10
BR 11 2025 002413 2,18/08/2023,MELHORIAS NA FERMENTAÇÃO DE BIOMASSA EM ETANOL,C12P 7/10
BR 11 2025 001994 5,11/08/2023,"CÉLULA DE LEVEDURA GENETICAMENTE ENGENHEIRADA CAPAZ DE PRODUZIR ETANOL, E, MÉTODO PARA PRODUZIR ETANOL",C12N 9/04
BR 11 2025 001558 3,28/07/2023,MÉTODOS PARA PURIFICAÇÃO DE MRNA SEM ETANOL,A61K 31/7088
BR 11 2025 004368 4,27/07/2023,"MÉTODO DE CONVERSÃO DE ETANOL, MÉTODO DE PRODUÇÃO DE HIDROCARBONETO, MÉTODO DE PRODUÇÃO DE PROPILENO, MÉTODO DE PRODUÇÃO DE COMPOSTO AROMÁTICO E DISPOSITIVO DE CONVERSÃO DE ETANOL",C07C 6/04
BR 10 2023 013992 2,12/07/2023,"PROCESSO PARA RECUPERAÇÃO DE LEVEDURAS PERDIDAS NO VINHO CENTRIFUGADO EM FERMENTAÇÕES INDUSTRIAIS PARA PRODUÇÃO DE ETANOL DE CANA DE AÇÚCAR E CEREAIS, PELO USO SEQUENCIAL DE CENTRÍFUGAS DE ALTA EFICIÊNCIA",C12N 1/02
