patent_id;inventors_count;images_count;backward_citations_count;foward_citations_count;nuns_count;aplications_count;top_10_words_count;non_patent_citations_count;independent_claims_count;application_date;family_count;ipcs_count;cpcs_count;ipcs_diversity_count;cpcs_diversity_count
WO2013142934;7;0;16;8;9;2;5;7;0;27/03/2013;19;4;13;3;7
BR102012032807;7;0;16;8;6;2;9;0;13;20/12/2012;19;4;13;3;7
BR102012007299;7;0;0;0;6;1;7;0;8;30/03/2012;19;2;2;1;2
BR9905240;1;0;0;0;16;1;8;0;0;09/11/1999;1;3;0;0;0
BR9905239;1;0;0;0;8;1;5;0;0;09/11/1999;1;2;1;2;1
WO2015135046;4;0;4;0;5;1;2;3;0;13/03/2014;3;3;7;2;2
BR0104107;1;0;0;0;3;1;7;0;0;23/08/2001;2;1;0;0;0
BR0014789;1;0;0;2;9;1;8;0;0;25/09/2000;1;3;1;3;1
BR0206132;13;0;0;0;11;1;1;0;0;11/10/2002;1;2;0;0;0
BR0203596;4;0;0;0;10;1;8;0;0;29/08/2002;1;3;1;2;1
BR0207356;6;0;0;0;8;1;4;0;0;24/09/2002;2;2;0;0;0
BR0104400;3;0;0;0;9;1;7;0;0;03/08/2001;1;2;0;0;0
BR102015021056;1;0;0;0;9;1;7;0;7;31/08/2015;2;1;0;0;0
BR9602148;10;0;8;17;6;0;0;0;0;03/05/1996;18;16;7;5;3
BR102021013005;6;5;0;0;3;1;4;0;14;30/06/2021;1;4;0;0;0
BR0106355;2;0;0;0;5;1;5;0;0;14/12/2001;1;1;0;0;0
BR9800336;4;0;11;13;3;1;2;0;0;16/01/1998;16;8;2;4;1
BR0007342;3;0;0;0;9;1;8;0;0;27/12/2000;1;1;0;0;0
BR102021003264;3;3;0;0;6;1;3;0;4;22/02/2021;1;3;0;0;0
BR112022012432;2;0;5;0;2;1;3;0;0;23/12/2020;6;6;12;6;5
BR0113262;3;0;11;228;7;2;1;0;0;26/04/2001;19;3;6;2;3
BR102013000525;1;0;32;0;4;1;7;0;9;08/01/2013;3;1;5;1;2
BR112017025511;4;0;12;0;3;2;3;0;0;12/05/2016;26;2;7;1;4
BR102020026212;4;2;0;0;4;1;11;0;7;21/12/2020;1;2;0;0;0
BR0201388;2;0;0;0;2;1;2;0;0;01/04/2002;1;1;1;1;1
BR102021005636;4;11;0;0;2;1;6;0;5;24/03/2021;1;3;0;0;0
BR102012026872;11;0;3;3;2;1;7;0;22;19/10/2012;2;3;3;2;1
