LINK WIPO,PATENTES EXTRAÍDAS DO WIPO,PATENTES ADAPTADAS PARA O GOOGLE PATENTS,,
https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2013142934,WO2013142934,WO2013142934,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR128727434,BR102012032807,BR102012032807,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR128727368,BR102012007299,BR102012007299,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6226358,BRPI9905240,BR9905240,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6226357,BRPI9905239,BR9905239,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015135046,WO2015135046,WO2015135046,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6258927,BRPI0104107,BR0104107,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6244936,BRPI0014789,BR0014789,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6278504,BRPI0206132,BR0206132,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6277081,BRPI0203596,BR0203596,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR29918485,BRMU8702351,BRMU8702351,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR377394844,BR132021013813,BR132021013813,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6279439,BRPI0207356,BR0207356,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR128728227,BRPI1107340,BRPI1107340,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6259018,BRPI0104400,BR0104400,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR193338366,BR102015021056,BR102015021056,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6312614,BRPI9602148,BR9602148,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR383977736,BR102021013005,BR102021013005,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6259839,BRPI0106355,BR0106355,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6182624,BRPI9800336,BR9800336,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6239098,BRPI0007342,BR0007342,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR372571061,BR102021003264,BR102021003264,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR372572048,BR112022012432,BR112022012432,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6274293,BRPI0113262,BR0113262,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR128742198,BR102013000525,BR102013000525,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR225261278,BR112017025511,BR112017025511,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR368143574,BR102020026212,BR102020026212,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6275960,BRPI0201388,BR0201388,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR375232424,BR102021005636,BR102021005636,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR29923513,BRPI0708416,BRPI0708416,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR29921856,BRPI0903273,BRPI0903273,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6378674,BRPI0801567,BRPI0801567,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR30788447,BRPI1001144,BRPI1001144,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR128738958,BR102012026872,BR102012026872,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR29928809,BRPI0622271,BRPI0622271,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR29920032,BRPI0903040,BRPI0903040,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6380228,BRPI0804753,BRPI0804753,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR373259931,BR102021003691,BR102021003691,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2011048238,WO2011048238,WO2011048238,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR244941593,BR112018074366,BR112018074366,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6297164,BRPI0301912,BR0301912,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR6248322,BRPI0103326,BR0103326,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2014106220,WO2014106220,WO2014106220,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015039065,WO2015039065,WO2015039065,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015019362,WO2015019362,WO2015019362,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR128740949,BR102012023582,BR102012023582,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR174174995,BR102014031211,BR102014031211,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2019124143,WO2019124143,WO2019124143,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=BR219405246,BR112016021699,BR112016021699,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015138260,WO2015138260,WO2015138260,FINALIZADO,
https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2011070445,WO2011070445,WO2011070445,FINALIZADO,
