patent_id,ipc_class
WO2013142934,C12
WO2013142934,C12
WO2013142934,C08
WO2013142934,C12
BR102012032807,B01
BR102012032807,B01
BR102012032807,C12
BR102012032807,C12
BR102012007299,C12
BR102012007299,C12
BR9905240,C12
BR9905240,C12
BR9905240,C12
BR9905240,C12
BR9905240,C12
BR9905240,C12
BR9905239,C12
BR9905239,C12
BR9905239,C12
BR9905239,C12
WO2015135046,C10
WO2015135046,C10
WO2015135046,C10
BR0104107,C07
BR0104107,C07
BR0014789,C12
BR0014789,C12
BR0014789,C12
BR0014789,C12
BR0014789,C12
BR0014789,C12
BR0206132,A61
BR0206132,A61
BR0206132,C12
BR0206132,C12
BR0203596,A23
BR0203596,A23
BR0203596,C12
BR0203596,C12
BRMU8702351,C07
BRMU8702351,C07
BRMU8702351,C07
BRMU8702351,C10
BR132021013813,C12
BR132021013813,C12
BR132021013813,C12
BR0207356,C12
BR0207356,C12
BR0207356,C12
BRPI1107340,A23
BRPI1107340,C12
BRPI1107340,C12
BRPI1107340,C12
BR0104400,A01
BR0104400,A01
BR0104400,C12
BR0104400,C12
BR102015021056,C12
BR9602148,C07
BR9602148,C07
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,A61
BR9602148,C07
BR9602148,C07
BR9602148,C07
BR9602148,C07
BR9602148,C07
BR9602148,C07
BR9602148,C07
BR102021013005,C12
BR102021013005,C12
BR102021013005,C12
BR102021013005,C12
BR0106355,C07
BR0106355,C07
BR9800336,C07
BR9800336,C07
BR9800336,B01
BR9800336,B01
BR9800336,B01
BR9800336,B01
BR9800336,C07
BR9800336,C07
BR9800336,C07
BR9800336,C07
BR9800336,C07
BR9800336,C07
BR9800336,C07
BR9800336,C07
BR9800336,C07
BR9800336,C07
BR0007342,C12
BR0007342,C12
BR102021003264,C10
BR102021003264,C10
BR102021003264,C10
BR112022012432,C12
BR112022012432,B01
BR112022012432,B01
BR112022012432,C13
BR112022012432,A23
BR112022012432,C12
BR0113262,C12
BR0113262,C12
BR0113262,C12
BR0113262,C13
BR0113262,C13
BR102013000525,C10
BR112017025511,C12
BR112017025511,C12
BR102020026212,C12
BR102020026212,C12
BR0201388,C12
BR0201388,C12
BR102021005636,C10
BR102021005636,C10
BR102021005636,C10
BRPI0708416,B01
BRPI0708416,B01
BRPI0708416,B01
BRPI0708416,C07
BRPI0708416,C07
BRPI0708416,C07
BRPI0903273,C12
BRPI0801567,C12
BRPI0801567,C12
BRPI0801567,C12
BRPI1001144,A23
BRPI1001144,A23
BRPI1001144,A23
BRPI1001144,C12
BRPI1001144,C12
BRPI1001144,C12
BRPI1001144,A23
BR102012026872,C12
BR102012026872,C12
BR102012026872,C12
BRPI0622271,C12
BRPI0622271,C13
BRPI0903040,C12
BRPI0903040,C12
BRPI0903040,C12
BRPI0903040,C12
BRPI0903040,C12
BRPI0804753,C10
BR102021003691,C12
BR102021003691,C12
BR102021003691,C12
BR102021003691,C12
BR102021003691,C12
WO2011048238,A01
WO2011048238,C12
WO2011048238,C12
WO2011048238,C12
BR112018074366,C10
BR112018074366,C10
BR112018074366,C10
BR112018074366,C10
BR112018074366,C11
BR0301912,A61
BR0301912,A61
BR0301912,C12
BR0301912,C12
BR0103326,C12
BR0103326,C12
BR0103326,C12
BR0103326,C12
WO2014106220,C12
WO2014106220,C12
WO2014106220,C12
WO2015039065,C13
WO2015039065,C13
WO2015039065,C12
WO2015019362,C12
WO2015019362,C12
WO2015019362,C12
BR102012023582,C12
BR102012023582,C12
BR102014031211,C12
BR102014031211,C13
BR102014031211,C12
BR102014031211,C13
BR102014031211,C12
WO2019124143,C12
WO2019124143,C12
WO2019124143,C12
BR112016021699,C12
BR112016021699,C12
BR112016021699,C12
BR112016021699,C12
BR112016021699,C12
BR112016021699,D21
WO2015138260,C08
WO2015138260,C08
WO2015138260,C12
WO2011070445,C10
WO2011070445,C07
WO2011070445,B01
BRPI0800147,C10
BR0212170,A01
BR0212170,A01
BR0212170,A01
BR0212170,A01
BR0212170,A01
BR0212170,A01
BR0212170,A23
BR0212170,A23
BR0212170,C07
BR0212170,C07
BR0212170,C07
BR0212170,C08
BR0212170,C08
BR0212170,C08
BR0212170,C08
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BR0212170,C12
BRPI0802522,C12
WO2016070258,C12
WO2016070258,C12
