patent_id,application_date,newer_ipc,years_since_application
BR6312614,1996-05-03,A61K 31/352,4
BR6312614,1996-05-03,A61K 31/352,4
BR6312614,1996-05-03,A61K 31/7028,4
BR6312614,1996-05-03,A61K 31/7028,4
BR6312614,1996-05-03,A61P 7/00,4
BR6312614,1996-05-03,A61P 7/02,4
BR6312614,1996-05-03,A61P 9/00,4
BR6312614,1996-05-03,A61P 9/10,4
BR6312614,1996-05-03,A61P 31/00,4
BR6312614,1996-05-03,A61P 31/12,4
BR6312614,1996-05-03,A61P 43/00,4
BR6312614,1996-05-03,A61P 43/00,4
BR6223931,1998-10-23,A23G 4/00,8
BR6223931,1998-10-23,A23G 4/00,8
BR6223931,1998-10-23,A61K 8/00,8
BR6223931,1998-10-23,A61K 8/00,8
BR6223931,1998-10-23,A61K 8/19,8
BR6223931,1998-10-23,A61K 8/25,8
BR6223931,1998-10-23,A61K 8/30,8
BR6223931,1998-10-23,A61K 8/36,8
BR6223931,1998-10-23,A61K 8/37,8
BR6223931,1998-10-23,A61K 8/40,8
BR6223931,1998-10-23,A61K 8/41,8
BR6223931,1998-10-23,A61K 8/44,8
BR6223931,1998-10-23,A61K 8/46,8
BR6223931,1998-10-23,A61K 8/60,8
BR6223931,1998-10-23,A61K 8/64,8
BR6223931,1998-10-23,A61K 8/66,8
BR6223931,1998-10-23,A61Q 1/02,8
BR6223931,1998-10-23,A61Q 1/02,8
BR6223931,1998-10-23,A61Q 1/14,8
BR6223931,1998-10-23,A61Q 1/14,8
BR6223931,1998-10-23,A61Q 11/00,8
BR6223931,1998-10-23,A61Q 11/00,8
BR6223931,1998-10-23,A61Q 11/02,8
BR6223931,1998-10-23,A61Q 11/02,8
BR6223931,1998-10-23,A61Q 19/00,8
BR6223931,1998-10-23,A61Q 19/00,8
BR6223931,1998-10-23,A61Q 19/10,8
BR6223931,1998-10-23,A61Q 19/10,8
BR5990276,1979-08-23,C12P 7/02,1
BR5990276,1979-08-23,C12P 7/06,1
BR5977461,1979-05-21,C12N 1/16,1
BR5977461,1979-05-21,C12N 1/16,1
BR5977461,1979-05-21,C12M 1/04,1
BR5977461,1979-05-21,C12M 1/04,1
BR5977461,1979-05-21,C12M 1/08,1
BR5977461,1979-05-21,C12P 7/02,1
BR5977461,1979-05-21,C12P 7/06,1
BR5988547,1979-08-22,C07C 29/80,1
BR6062506,1987-07-14,C07C 29/151,3
BR6244791,2000-09-30,C09K 8/52,6
BR6244791,2000-09-30,C09K 8/524,6
BR6005914,1981-11-13,C10L 1/198,25
BR6223926,1998-10-19,C10L 1/192,8
BR6223926,1998-10-19,C10L 1/182,8
BR6223926,1998-10-19,C10L 1/195,8
BR6223926,1998-10-19,C10L 1/222,8
BR6076002,1989-03-06,C10L 1/192,17
BR6076002,1989-03-06,C10L 1/196,17
BR6076002,1989-03-06,C10L 10/14,17
BR6076002,1989-03-06,C10L 10/16,17
BR5981639,1979-04-24,C12P 7/02,1
BR5981639,1979-04-24,C12P 7/14,1
BR6191977,1997-03-27,A61K 8/00,9
BR6191977,1997-03-27,A61K 8/00,9
BR6191977,1997-03-27,A61K 8/11,9
BR6191977,1997-03-27,A61K 8/11,9
BR6191977,1997-03-27,A61K 8/14,9
BR6191977,1997-03-27,A61K 8/14,9
BR6191977,1997-03-27,A61K 8/30,9
BR6191977,1997-03-27,A61K 8/60,9
BR6191977,1997-03-27,A61K 8/64,9
BR6191977,1997-03-27,A61K 8/66,9
BR6191977,1997-03-27,A61K 8/72,9
BR6191977,1997-03-27,A61K 8/72,9
BR6191977,1997-03-27,A61P 17/00,3
BR6191977,1997-03-27,A61P 17/00,3
BR6191977,1997-03-27,A61Q 5/08,9
BR6191977,1997-03-27,A61Q 5/08,9
BR6191977,1997-03-27,A61Q 19/02,9
BR6191977,1997-03-27,A61Q 19/02,9
BR5949987,1976-05-13,C12P 7/02,4
BR5949987,1976-05-13,C12P 7/06,4
BR6002761,1981-04-30,C07C 29/151,9
BR6002761,1981-04-30,C07C 29/153,9
BR6002761,1981-04-30,C07C 29/154,9
BR6002761,1981-04-30,C10L 1/182,25
BR6285453,2002-11-18,C10L 1/19,4
BR6285453,2002-11-18,C10L 10/08,4
BR6285453,2002-11-18,C10L 10/08,4
BR6285453,2002-11-18,C10L 10/14,4
BR6285453,2002-11-18,C10L 10/14,4
WO2010081231,2010-01-15,C13B 10/00,1
WO2010081231,2010-01-15,C13B 20/00,1
BR5949759,1976-04-20,C07C 63/70,4
BR5949759,1976-04-20,C07C 65/05,4
BR6242562,2000-07-06,C09K 8/02,6
BR6242562,2000-07-06,C09K 8/34,6
BR6174273,1996-12-20,C07G 99/00,13
BR6174273,1996-12-20,C07G 99/00,13
BR6197755,1998-12-01,A61P 31/00,2
BR6197755,1998-12-01,A61P 31/04,2
BR6250714,2001-01-24,C10L 1/182,5
BR6250714,2001-01-24,C10L 1/185,5
BR6250714,2001-01-24,C10L 1/19,5
BR6224166,1998-10-23,A23G 4/00,8
BR6224166,1998-10-23,A23G 4/00,8
BR6224166,1998-10-23,A61K 8/00,8
BR6224166,1998-10-23,A61K 8/00,8
BR6224166,1998-10-23,A61K 8/19,8
BR6224166,1998-10-23,A61K 8/25,8
BR6224166,1998-10-23,A61K 8/30,8
BR6224166,1998-10-23,A61K 8/36,8
BR6224166,1998-10-23,A61K 8/37,8
BR6224166,1998-10-23,A61K 8/40,8
BR6224166,1998-10-23,A61K 8/41,8
BR6224166,1998-10-23,A61K 8/44,8
BR6224166,1998-10-23,A61K 8/46,8
BR6224166,1998-10-23,A61K 8/60,8
BR6224166,1998-10-23,A61K 8/64,8
BR6224166,1998-10-23,A61K 8/66,8
BR6224166,1998-10-23,A61Q 1/02,8
BR6224166,1998-10-23,A61Q 1/02,8
BR6224166,1998-10-23,A61Q 1/14,8
BR6224166,1998-10-23,A61Q 1/14,8
BR6224166,1998-10-23,A61Q 11/00,8
BR6224166,1998-10-23,A61Q 11/00,8
BR6224166,1998-10-23,A61Q 11/02,8
BR6224166,1998-10-23,A61Q 11/02,8
BR6224166,1998-10-23,A61Q 19/00,8
BR6224166,1998-10-23,A61Q 19/00,8
BR6224166,1998-10-23,A61Q 19/10,8
BR6224166,1998-10-23,A61Q 19/10,8
BR6266027,2001-12-12,C10L 10/18,5
BR6232580,1999-11-19,C10L 1/185,7
BR6232580,1999-11-19,C10L 1/182,7
BR6232580,1999-11-19,C10L 1/19,7
BR6232580,1999-11-19,C10L 1/224,7
BR6232580,1999-11-19,C10L 1/234,7
BR6232580,1999-11-19,C10L 10/12,7
BR6232580,1999-11-19,C10L 10/12,7
BR6061611,1987-05-13,B01D 61/36,3
BR6061611,1987-05-13,B01D 61/36,3
BR6061611,1987-05-13,B01D 71/00,3
BR6061611,1987-05-13,B01D 71/12,3
BR6184106,1998-08-05,C09K 8/52,8
BR6184106,1998-08-05,C09K 8/52,8
BR5985245,1979-12-04,C07C 29/56,1
BR5985245,1979-12-04,C07B 61/00,6
BR5985245,1979-12-04,C07B 61/00,6
BR5985245,1979-12-04,C07C 33/03,1
BR6168961,1993-10-28,C07C 19/01,2
BR6016370,1982-11-22,B01J 23/885,13
BR6016370,1982-11-22,C07B 61/00,3
BR6016370,1982-11-22,C07B 61/00,3
BR6016370,1982-11-22,C07C 29/153,8
BR6016370,1982-11-22,C07C 29/154,8
BR5998122,1981-06-30,G01J 3/443,4
BR5998122,1981-06-30,G01J 3/443,4
BR6228279,1999-05-27,A61P 31/00,1
BR6228279,1999-05-27,A61P 31/22,1
BR6228279,1999-05-27,A61K 31/352,1
BR6228279,1999-05-27,A61K 31/612,1
BR6228279,1999-05-27,A61K 36/00,7
BR6228279,1999-05-27,A61K 36/00,7
BR6228279,1999-05-27,A61P 17/00,1
BR6228279,1999-05-27,A61P 17/00,1
BR6228279,1999-05-27,A61P 31/12,1
BR6043417,1985-09-24,C07C 313/00,5
BR6043417,1985-09-24,C07C 313/00,5
BR6043417,1985-09-24,C07C 319/00,5
BR6043417,1985-09-24,C07C 319/18,5
BR6043417,1985-09-24,C07C 321/00,5
BR6043417,1985-09-24,C07C 321/18,5
BR6043417,1985-09-24,C07C 323/00,5
BR6043417,1985-09-24,C07C 323/12,5
BR6203956,1998-10-23,A23G 4/00,8
BR6203956,1998-10-23,A23G 4/00,8
BR6203956,1998-10-23,A61K 8/00,8
BR6203956,1998-10-23,A61K 8/00,8
BR6203956,1998-10-23,A61K 8/19,8
BR6203956,1998-10-23,A61K 8/25,8
BR6203956,1998-10-23,A61K 8/30,8
BR6203956,1998-10-23,A61K 8/36,8
BR6203956,1998-10-23,A61K 8/37,8
BR6203956,1998-10-23,A61K 8/40,8
BR6203956,1998-10-23,A61K 8/41,8
BR6203956,1998-10-23,A61K 8/44,8
BR6203956,1998-10-23,A61K 8/46,8
BR6203956,1998-10-23,A61K 8/60,8
BR6203956,1998-10-23,A61K 8/64,8
BR6203956,1998-10-23,A61K 8/66,8
BR6203956,1998-10-23,A61Q 1/02,8
