,,,,,
Time:,30.09.2025 22:45:13,,,,
Query:,IC:(C12P OR C12N OR C10L OR C07C OR A23B) AND FP:(metanol OR methanol OR sugar OR etanol OR ethanol OR cana OR stover OR celulose OR bagasse OR madeira OR wood OR wooden OR cellulose OR bagaco OR bagaço OR beterraba OR beet OR sugarcane OR sucrose OR a??car* OR melaco OR melaço OR ?lcoo* OR alcohol OR bioetanol OR bioethanol OR et?lic* OR ethyl OR milho OR corn OR soy OR soybean OR soja OR cereal OR trigo OR starch OR lignocellulose OR lignocelulose OR palha OR res?duo* OR biomass OR biomassa),,,,
Offices:,BR,,,,
SortBy:,Relevance,,,,
,,,,,
Application Id,Application Number,Application Date,Country,Title,I P C
WO2013142934,PCT/BR2013/000094,27.03.2013,WO,SYSTEM AND METHOD FOR THE INTEGRATED PRODUCTION OF FIRST- AND SECOND-GENERATION ETHANOL AND THE USE OF INTEGRATION POINTS FOR SAID PRODUCTION,C12P 7/06; C12P 7/10; C08B 1/00; C12M 1/00
BR128727434,102012032807,20.12.2012,BR,"sistema e processo para a produção integrada de etanol de primeira e segunda gerações, e , uso de pontos de integração para dita produção",B01D 3/14; B01D 3/40; C12F 3/06; C12P 7/10
BR128727368,102012007299,30.03.2012,BR,arranjo energético e reaproveitamento de efluentes para a produção conjunta e eficiente de etanol de primeira e segunda geração,C12P 7/10; C12P 7/14
BR6226358,9905240-7,09.11.1999,BR,"Aperfeiçoamento introduzido em processo para obtenção de acetona e butanol, além do gás d'água, na rota de produção de etanol e metanol à partir de rejeitos e resìduos deixados pela produção de etanol e açúcar",C12F 3/00; C12F 3/04; C12P 7/02; C12P 7/16; C12P 7/24; C12P 7/26
BR6226357,9905239-3,09.11.1999,BR,Aperfeiçoamento introduzido em processo para obtenção de metanol à partir de rejeitos e resìduos deixados pela produção de etanol e açúcar,C12F 3/00; C12F 3/04; C12P 7/02; C12P 7/06
WO2015135046,PCT/BR2014/000073,13.03.2014,WO,PROCESS FOR PRODUCING HYDROCARBON-SOLUBLE BIO-OIL,C10L 1/02; C10L 1/04; C10G 3/00
BR6258927,104107-0,23.08.2001,BR,"Produção de ésteres etìlicos, biodiesel, a partir de óleos vegetais e álcool etìlico",C07C 69/00; C07C 69/003
BR6244936,14789-3,25.09.2000,BR,Processo de reinjeção de leveduras na fermentação para produção de álcoois e produção de produtos alimentìcios,C12G 1/00; C12G 1/022; C12M 1/36; C12M 1/36; C12P 7/02; C12P 7/06
BR6278504,206132-5,11.10.2002,BR,"Biomembranas produzidas a partir da sìntese do melaço da cana-de-açucar e de outros açúcares, via microorganismo zooglea sp., para fins de aplicação nas áreas de  medicina clìnica e experimental e bioquìmica",A61F 2/00; A61F 2/00; C12P 19/00; C12P 19/00
BR6277081,203596-0,29.08.2002,BR,"Produção de fitase por fermentação no estado sólido utilizando produtos, subprodutos e resìduos agroindustriais para a aplicação na alimentação animal",A23K 1/14; A23K 1/14; C12N 9/14; C12N 9/14
BR29918485,MU8702351,18.10.2007,BR,"UTILIZAÇÃO DE BIOCOMBUSTÍVEIS PRODUZIDO PELA ROTA METÍLICA E ETÍLICA EM FROTA CATIVA DE ÔNIBUS PARA TRANSPORTE URBANO COM FRAÇÕES DE 0 A 100% UTILIZANDO OLIAGINOSAS E OUTRAS MISTURAS QUE SE MOSTRAREM VIÁVEIS, COLETA SELETIVA PELA FROTA DE ÓLEOS E GORDURAS EM FROTAS",C07C 31/04; C07C 31/08; C07C 31/12; C10L 1/00
BR377394844,132021013813,13.07.2021,BR,PROCESSO DE PRODUÇÃO DE LEVEDURAS ENRIQUECIDAS COM FERRO A PARTIR DE RESÍDUOS VEGETAIS,C12N 1/16; C12N 1/22; C12N 1/38
BR6279439,207356-0,24.09.2002,BR,Processo de produção de polihidroxibutirato e seu copolìmero polihidroxibutirato-co-hidroxivalerato a partir de hidrolisados de bagaço de cana-de-açúcar,C12P 7/62; C12P 7/62; C12R 1/025
